Störungsbeginn;Störungsbeginn Zeit;Störungsende;Störungsende Zeit;Subsystem Bezeichner
27.06.2024;15:47:30;27.06.2024;17:52:28;BREMSSYSTEM
19.08.2024;10:38:44;19.08.2024;13:06:53;BREMSSYSTEM
19.08.2024;10:39:07;19.08.2024;13:34:42;BREMSSYSTEM
19.08.2024;10:37:51;19.08.2024;12:05:32;BREMSSYSTEM
27.08.2024;19:47:56;28.08.2024;18:09:53;NIVEAUSYSTEM
27.08.2024;19:48:48;28.08.2024;16:13:02;NIVEAUSYSTEM
27.08.2024;15:58:43;28.08.2024;21:29:25;NIVEAUSYSTEM
28.08.2024;14:54:30;28.08.2024;20:46:36;NIVEAUSYSTEM
22.09.2024;05:49:43;22.09.2024;08:23:11;BREMSSYSTEM
10.10.2024;10:40:41;10.10.2024;15:35:49;BREMSSYSTEM
28.10.2024;15:31:52;28.10.2024;16:52:02;KOMPRESSOR
31.10.2024;12:54:22;31.10.2024;18:26:02;KOMPRESSOR
14.12.2024;17:43:23;14.12.2024;23:36:04;BREMSSYSTEM
18.02.2025;12:49:29;18.02.2025;21:39:48;BREMSSYSTEM
18.02.2025;08:56:24;20.02.2025;03:29:38;KOMPRESSOR
10.04.2025;09:34:42;10.04.2025;17:30:11;BREMSSYSTEM
18.04.2025;01:13:47;18.04.2025;07:38:47;KOMPRESSOR
17.06.2025;10:56:47;17.06.2025;12:37:10;BREMSSYSTEM
18.06.2025;13:13:32;19.06.2025;12:43:50;KOMPRESSOR
18.06.2025;11:58:14;24.06.2025;11:58:15;BREMSSYSTEM
19.06.2025;01:41:24;24.06.2025;13:11:47;NIVEAUSYSTEM
19.06.2025;02:09:35;24.06.2025;13:10:38;NIVEAUSYSTEM
19.06.2025;02:10:37;24.06.2025;13:13:34;NIVEAUSYSTEM
18.06.2025;12:01:00;24.06.2025;20:48:05;BREMSSYSTEM
22.07.2025;13:00:35;25.07.2025;10:43:31;BREMSSYSTEM
23.08.2025;10:47:01;27.08.2025;09:21:38;BREMSSYSTEM
03.09.2024;05:04:00;03.09.2024;07:33:37;BREMSSYSTEM
06.10.2024;00:11:00;08.10.2024;09:15:36;BREMSSYSTEM
27.12.2024;;29.12.2024;11:15:09;BREMSSYSTEM
21.01.2025;06:11:15;21.01.2025;09:45:44;BREMSSYSTEM
24.02.2025;17:39:54;24.02.2025;22:52:22;KOMPRESSOR
26.02.2025;12:40:00;26.02.2025;16:23:55;BREMSSYSTEM
14.03.2025;06:42:19;14.03.2025;10:24:38;BREMSSYSTEM
05.05.2025;10:04:56;05.05.2025;13:32:58;KOMPRESSOR
10.05.2025;20:25:27;11.05.2025;02:55:53;NIVEAUSYSTEM
13.05.2025;06:52:14;13.05.2025;18:36:28;KOMPRESSOR
25.05.2025;08:11:37;25.05.2025;13:04:14;BREMSSYSTEM
19.07.2025;01:38:41;19.07.2025;10:29:37;BREMSSYSTEM
19.07.2025;10:30:07;19.07.2025;11:19:26;BREMSSYSTEM
21.07.2025;21:24:06;22.07.2025;00:33:44;BREMSSYSTEM
22.07.2025;21:27:11;12.08.2025;09:26:35;BREMSSYSTEM
