idfzgdispo;resourceid;fzgnr;fzgtext;allgemein;status;start;end;mystandort;arbeitsplatz;sapauftragsnr
312778;56;3813;AJ;n;e;02.07.2024 00:00;03.07.2024 00:00;LN;4SUWWKS;456002816025
323784;52;3813;C;n;e;27.08.2024 00:00;31.08.2024 00:00;HSR;4SUWWKS;456002838556
337173;245;3813;Revisionskontrolle;n;e;30.08.2024 00:00;31.08.2024 00:00;HSR;4F55U;456002850043
340768;215;3813;Wartung A;n;e;23.09.2024 00:00;24.09.2024 00:00;HSR;4SUWWKS;456002852657
355046;52;3813;K;n;e;20.10.2024 00:00;21.10.2024 00:00;HSR;4SUWWKS;456002868035
355051;52;3813;AJ;n;e;20.10.2024 00:00;21.10.2024 00:00;HSR;4SUWWKS;456002868036
364709;67;3813;R5 - Wartung Paket R5;n;e;24.10.2024 00:00;25.10.2024 00:00;F57z;NULL;456002874722
367390;243;3813;Stichprobeninspektion;n;e;31.10.2024 00:00;01.11.2024 00:00;F50q-U;4F55U;456002882018
357552;52;3813;1;n;e;05.11.2024 00:00;10.11.2024 00:00;HSR;4SUNWKS;456002870581
368404;57;3813;A;n;e;28.11.2024 00:00;29.11.2024 00:00;LU;4SUWWKS;456002883113
383199;52;3813;AJ;n;e;29.12.2024 00:00;30.12.2024 00:00;HSR;4SUWWKS;456002898882
400661;52;3813;A;n;e;17.01.2025 00:00;18.01.2025 00:00;HSR;52WLWWS;456002914564
415256;73;3813;B;n;e;18.02.2025 00:00;19.02.2025 00:00;ERD;52WLWWS;456002930691
427714;52;3813;A;n;e;21.03.2025 00:00;22.03.2025 00:00;HSR;52WLWWS;456002945577
443724;73;3813;AJ;n;e;17.04.2025 00:00;18.04.2025 00:00;ERD;52WLWWS;456002961296
442981;225;3813;Inspektion nach §61 STRAB VO ;n;e;21.04.2025 00:00;22.04.2025 00:00;F50q-U;50UBAHN;456002960288
456974;56;3813;A;n;e;20.05.2025 00:00;21.05.2025 00:00;LN;52WLWWS;456002976025
355660;221;3813;E;n;p;28.05.2025 00:00;29.05.2025 00:00;ERD;52WLWWS;456002869066
446473;58;3813;Wartung 6;n;e;15.06.2025 00:00;16.06.2025 00:00;ERD;52ERDWS;456002963997
469065;52;3813;Wartung C;n;e;17.06.2025 00:00;20.06.2025 00:00;HSR;52WLWWS;456002989627
491864;245;3813;Stichprobeninspektion V ;n;e;29.07.2025 00:00;30.07.2025 00:00;F50q-U;50UBAHN;456003015802
