Steckencode;Startstation;Endstation;Linie;special;;;;;;;;;
4134;Oberlaa;Neulaa;U1;Nein;;;;;;;;;
4135;Neulaa;Alaudagasse;U1;Nein;;;;;;;;;
4136;Alaudagasse;Altes Landgut;U1;Nein;;;;;;;;;
4137;Altes Landgut;Troststraße;U1;Nein;;;;;;;;;
4138;Troststraße;Reumannplatz;U1;Nein;;;;;;;;;
4101;Reumannplatz;Keplerplatz;U1;Nein;;;;;;;;;
4103;Keplerplatz;Südtiroler Platz - Hauptbahnhof;U1;Nein;;;;;;;;;
4105;Südtiroler Platz - Hauptbahnhof;Taubstummengasse;U1;Nein;;;;;;;;;
4107;Taubstummengasse;Karlsplatz;U1;Nein;;;;;;;;;
4109;Karlsplatz;Stephansplatz;U1;Nein;;;;;;;;;
4111;Stephansplatz;Schwedenplatz;U1;Nein;;;;;;;;;
4113;Schwedenplatz;Nestroyplatz;U1;Nein;;;;;;;;;
4115;Nestroyplatz;Praterstern;U1;Nein;;;;;;;;;
4117;Praterstern;Vorgartenstraße;U1;Nein;;;;;;;;;
4119;Vorgartenstraße;Donauinsel;U1;Nein;;;;;;;;;
4121;Donauinsel;Kaißermühlen;U1;Nein;;;;;;;;;
4123;Kaißermühlen;Alte Donau;U1;Nein;;;;;;;;;
4125;Alte Donau;Kagran;U1;Nein;;;;;;;;;
4127;Kagran;Kagraner Platz;U1;Nein;;;;;;;;;
4181;Kagraner Platz;Rennbahnweg;U1;Nein;;;;;;;;;
4182;Rennbahnweg;Aderklaaer Straße;U1;Nein;;;;;;;;;
4183;Aderklaaer Straße;Großfeldsiedlung;U1;Nein;;;;;;;;;
4184;Großfeldsiedlung;Leopoldau;U1;Nein;;;;;;;;;
4185;Leopoldau;Gleis nach Station Leopoldau;U1;Ja;;;;;;;;;
4132;Neulaa;Oberlaa;U1;Nein;;;;;;;;;
4131;Alaudagasse;Neulaa;U1;Nein;;;;;;;;;
4130;Altes Landgut;Alaudagasse;U1;Nein;;;;;;;;;
4129;Troststraße;Altes Landgut;U1;Nein;;;;;;;;;
4128;Reumannplatz;Troststraße;U1;Nein;;;;;;;;;
4126;Keplerplatz;Reumannplatz;U1;Nein;;;;;;;;;
4124;Südtiroler Platz - Hauptbahnhof;Keplerplatz;U1;Nein;;;;;;;;;
4122;Taubstummengasse;Südtiroler Platz - Hauptbahnhof;U1;Nein;;;;;;;;;
4120;Karlsplatz;Taubstummengasse;U1;Nein;;;;;;;;;
4118;Stephansplatz;Karlsplatz;U1;Nein;;;;;;;;;
4116;Schwedenplatz;Stephansplatz;U1;Nein;;;;;;;;;
4114;Nestroyplatz;Schwedenplatz;U1;Nein;;;;;;;;;
4112;Praterstern;Nestroyplatz;U1;Nein;;;;;;;;;
4110;Vorgartenstraße;Praterstern;U1;Nein;;;;;;;;;
4108;Donauinsel;Vorgartenstraße;U1;Nein;;;;;;;;;
4106;Kaißermühlen;Donauinsel;U1;Nein;;;;;;;;;
4104;Alte Donau;Kaißermühlen;U1;Nein;;;;;;;;;
4102;Kagran;Alte Donau;U1;Nein;;;;;;;;;
4186;Kagraner Platz;Kagran;U1;Nein;;;;;;;;;
4187;Rennbahnweg;Kagraner Platz;U1;Nein;;;;;;;;;
4188;Aderklaaer Straße;Rennbahnweg;U1;Nein;;;;;;;;;
4189;Großfeldsiedlung;Aderklaaer Straße;U1;Nein;;;;;;;;;
4190;Leopoldau;Großfeldsiedlung;U1;Nein;;;;;;;;;
4133;Oberlaa;Wendeanlage Oberlaa;U1;Ja;;;;;;;;;
4171;Wendegleis der Station Leopoldau;Wendegleis der Station Leopoldau;U1;Ja;;;;;;;;;
4141;Wendegleis der Station Reumannplatz;Wendegleis der Station Reumannplatz;U1;Ja;;;;;;;;;
4276;Seestadt;Betriebsbahnhof Aspern;U2;Ja;;;;;;;;;
4275;Aspern Nord;Seestadt;U2;Nein;;;;;;;;;
4274;Hausfeldstraße;Aspern Nord;U2;Nein;;;;;;;;;
