V-Zug-Nummer;Steuerwagen 1;Motorwagen 1;Motorwagen 2;Motorwagen 3;Motorwagen 4;Steuerwagen 2
V0;403801;402401;402801;402402;402802;403802
V1;403803;402403;402803;402404;402804;403804
V2;403805;402405;402805;402406;402806;403806
V3;403807;402407;402807;402408;402808;403808
V4;403809;402409;402809;402410;402810;403810
V5;403811;402411;402811;402412;402812;403812
V6;403813;402413;402813;402414;402814;403814
V7;403815;402415;402815;402416;402816;403816
V8;403817;402417;402817;402418;402818;403818
V9;403819;402419;402819;402420;402820;403820
V10;403821;402421;402821;402422;402822;403822
V11;403823;402423;402823;402424;402824;403824
V12;403825;402425;402825;402426;402826;403826
V13;403827;402427;402827;402428;402828;403828
V14;403829;402429;402829;402430;402830;403830
V15;403831;402431;402831;402432;402832;403832
V16;403833;402433;402833;402434;402834;403834
V17;403835;402435;402835;402436;402836;403836
V18;403837;402437;402837;402438;402838;403838
V19;403839;402439;402839;402440;402840;403840
V20;403841;402441;402841;402442;402842;403842
V21;403843;402443;402843;402444;402844;403844
V22;403845;402445;402845;402446;402846;403846
V23;403847;402447;402847;402448;402848;403848
V24;403849;402449;402849;402450;402850;403850
V25;403851;402451;402851;402452;402852;403852
V26;403853;402453;402853;402454;402854;403854
V27;403855;402455;402855;402456;402856;403856
V28;403857;402457;402857;402458;402858;403858
V29;403859;402459;402859;402460;402860;403860
V30;403861;402461;402861;402462;402862;403862
V31;403863;402463;402863;402464;402864;403864
V32;403865;402465;402865;402466;402866;403866
V33;403867;402467;402867;402468;402868;403868
V34;403869;402469;402869;402470;402870;403870
V35;403871;402471;402871;402472;402872;403872
V36;403873;402473;402873;402474;402874;403874
V37;403875;402475;402875;402476;402876;403876
V38;403877;402477;402877;402478;402878;403878
V39;403879;402479;402879;402480;402880;403880
V40;403881;402481;402881;402482;402882;403882
V41;403883;402483;402883;402484;402884;403884
V42;403885;402485;402885;402486;402886;403886
V43;403887;402487;402887;402488;402888;403888
V44;403889;402489;402889;402490;402890;403890
V45;403891;402491;402891;402492;402892;403892
V46;403893;402493;402893;402494;402894;403894
V47;403895;402495;402895;402496;402896;403896
V48;403897;402497;402897;402498;402898;403898
V49;403899;402499;402899;402500;402900;403900
V50;403901;402501;402901;402502;402902;403902
V51;403903;402503;402903;402504;402904;403904
V52;403905;402505;402905;402506;402906;403906
V53;403907;402507;402907;402508;402908;403908
V54;403909;402509;402909;402510;402910;403910
V55;403911;402511;402911;402512;402912;403912
V56;403913;402513;402913;402514;402914;403914
V57;403915;402515;402915;402516;402916;403916
V58;403917;402517;402917;402518;402918;403918
V59;403919;402519;402919;402520;402920;403920
V60;403921;402521;402921;402522;402922;403922
V61;403923;402523;402923;402524;402924;403924
